"RUBRO","SUBRUBRO","MARCA","Rubro","Subrubro",,"Orden","Codigo","Nombre","Precio","Unidad por bulto fact.","Texto",
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",17,11015,"BARRA PLANCHUELA   1X 5/16                        ","91.45","9.8","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",18,21554,"BARRA PLANCHUELA   1X3/8                          ","110.2","11.7","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",19,1989,"BARRA PLANCHUELA  1 1/4X  1/8                     ","54.9","5.4","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",20,1975,"BARRA PLANCHUELA  1 1/4X  3/16                    ","67.29","7.6","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",21,1979,"BARRA PLANCHUELA  1 1/4X 1/4                      ","90.51","9.8","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",22,9635,"BARRA PLANCHUELA  1 1/4X 5/16                     ","113.02",12,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",23,11016,"BARRA PLANCHUELA  1 1/4X3/8                       ","137.18","14.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",24,1990,"BARRA PLANCHUELA  1 1\2X  1/8                     ","63.03","6.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",25,1976,"BARRA PLANCHUELA  1 1\2X  3/16                    ","84.99","9.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",26,1980,"BARRA PLANCHUELA  1 1\2X 1/4                      ","112.67","12.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",27,4749,"BARRA PLANCHUELA  1 1\2X 5/16                     ","135.79","14.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",28,1973,"BARRA PLANCHUELA  1 1\2X3/8                       ","161.44","17.3","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",29,11654,"BARRA PLANCHUELA  1 3/4X  1/8                     ","76.95","7.1","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",30,16826,"BARRA PLANCHUELA  1 3/4X  3/16                    ","94.22","10.2","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",31,13444,"BARRA PLANCHUELA  1 3/4X 1/4                      ","126.53","13.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",32,16525,"BARRA PLANCHUELA  1 3/4X 5/16                     ","159.58","17.1","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-PLANCHUELA            ","ACINDAR",1,1745,"1.1745",33,14811,"BARRA PLANCHUELA  1 3/4X3/8                       ","183.84","19.7","UNI",1
